report_date_as_yyyy_mm_dd,cftc_contract_market_code,market_and_exchange_names,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,nonrept_positions_long_all,nonrept_positions_short_all,noncomm_net,comm_net,nonrept_net,rsi_noncomm_net,rsi_comm_net,rsi_nonrept_net,ci_noncomm_net,ci_comm_net,ci_nonrept_net,cot_signal
2007-10-09,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1950942,326945,542172,1177027,1232808,424429,153421,-215227,-55781,271008,52.259383964008805,41.48005297716459,60.59135916347118,35.19101385255237,38.77924187824039,84.00203630080834,0
2007-10-16,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2000172,328769,517493,1206237,1302813,435584,150284,-188724,-96576,285300,54.1821883639509,39.89637765122857,61.388801155741774,40.01284463090789,34.33115081203967,87.15169118748953,0
2007-10-23,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1977779,307450,528662,1203669,1248622,431674,165509,-221212,-44953,266165,51.44680548186476,42.86886936186002,59.64848868844877,34.10213118989313,39.959875045658485,82.93474140742765,0
2007-10-30,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2026594,325433,544199,1208617,1299491,467183,157543,-218766,-90874,309640,51.64474087478052,40.92971872927578,62.265876936590224,34.547144889619865,34.952869533929025,92.51571301381335,0
2007-11-06,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2036619,291436,568503,1246109,1248113,460888,181817,-277067,-2004,279071,46.75242973724376,46.018812760893915,59.35072819266573,23.940136014816808,44.64282793699946,85.77895117285638,0
2007-11-13,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2055383,278957,531332,1261565,1262128,466206,213268,-252375,-563,252938,48.95780382013259,46.09990036875056,56.89826578062139,28.43248199750385,44.26485968755849,80.01979002300756,0
2007-11-20,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2149374,302744,528415,1331064,1372360,471445,204478,-225671,-41296,266967,51.30666177888324,44.08403956808625,57.90390058260777,33.29088176753765,39.780476258628475,83.11148526546839,0
2007-11-27,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2150535,314271,504882,1320719,1387347,452657,195418,-190611,-66628,257239,54.2813475703928,42.829704970280275,56.91230798027546,39.66953275380882,36.99162198760362,80.96763956594177,0
2007-12-04,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2164011,263575,541885,1333808,1384258,498240,169480,-278310,-50450,328760,46.61081285740706,43.92700602965442,62.0569211575119,23.713990459313813,38.77269274382658,96.7293571107448,0
2007-12-11,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2342983,286660,570485,1431634,1506785,559177,200201,-283825,-75151,358976,46.168977129908704,42.583105624752356,64.01191890553497,22.710617379185877,31.63216182845628,100.0,0
